,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Formulas,,,,,,
,Addition,10,200,210,,,
,Subration,20,400,-380,,,
,Multiplication,200,6,1200,,,
,division,323,123,2.6260162601626,,,
,Percentage,120,200,60,,,
,Power,,,16,,,
,,,,,,,
Result,,,,,,,
Roll no,English ,Math,CS,Urdu,Total No,Percentage,Grade
100,50,70,80,60,260,65,fail
101,80,50,70,80,280,70,fail
102,90,70,60,80,300,75,Pass
103,70,90,50,60,270,67.5,fail
104,80,70,40,80,270,67.5,fail
105,30,10,30,100,170,42.5,fail
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Name,Email,Password,,,,,
Aneesa,Anessa@gmail.com,2323sdsdsd,,,,,
,,,,,,,
,,,,,,,
Employer Name,Jan Salary,Feb Salary,March Salary,Sum,Count,Average,PERCENTAGE
Amna,30000,40000,40000,110000,3,36666.6666666667,55%
Ayesha,20000,30000,30000,80000,3,26666.6666666667,40
Noor,35000,40000,40000,115000,3,38333.3333333333,57.5
Amna,30000,40000,40000,110000,3,36666.6666666667,55%
alisha,20000,30000,30000,80000,3,26666.6666666667,40
Noor,35000,40000,40000,115000,3,38333.3333333333,57.5
Amna,30000,40000,40000,110000,3,36666.6666666667,55%
maryam,20000,30000,30000,80000,3,26666.6666666667,40
Noor,35000,40000,40000,115000,3,38333.3333333333,57.5
,,,,,,,
,,,,,,,
Product no ,Product name ,quality,year sales,Price ,,,
